Inning,Pitcher,Out,Bases,Result
1회,김시훈,1사,"2,3루",0
9회,전상현,2사,1루,0
6회,최준호,1사,"1,2루",0
7회,최민준,1사,주자없음,0
6회,최성영,2사,2루,0
9회,박진,1사,"1,3루",0
9회,박영현,1사,1루,0
8회,김연주,무사,주자없음,0
9회,정지헌,1사,만루,0
6회,손주영,1사,주자없음,0
8회,이민우,2사,주자없음,0
9회,전준표,2사,3루,0
9회,박윤성,2사,"1,2루",0
9회,박치국,무사,1루,0
9회,최동환,1사,1루,0
7회,이건욱,1사,"1,2루",0
8회,박치국,2사,1루,1
8회,김민,1사,주자없음,0
7회,최성영,2사,주자없음,1
6회,진해수,무사,주자없음,1
9회,최동환,무사,주자없음,1
9회,전상현,무사,2루,0
9회,박민호,2사,3루,1
2회,최준호,2사,주자없음,1
5회,최준호,무사,주자없음,1
9회,김택연,2사,주자없음,1
8회,전미르,2사,1루,1
8회,신영우,2사,주자없음,1
5회,이영하,2사,주자없음,1
3회,박소준,1사,주자없음,1
3회,나균안,1사,주자없음,1
5회,오원석,2사,주자없음,1
6회,카스타노,2사,3루,1
5회,박진,무사,주자없음,1
8회,김재열,2사,"1,2루",1
8회,김강률,2사,1루,1
4회,양현종,2사,주자없음,1
3회,바리아,2사,주자없음,1
3회,류현진,2사,주자없음,1
8회,박정수,2사,주자없음,1
3회,최이준,2사,주자없음,1
7회,엄상백,2사,주자없음,0
4회,쿠에바스,2사,주자없음,1
7회,한승혁,2사,1루,1
9회,한두솔,무사,주자없음,0
1회,양현종,2사,주자없음,1
6회,송영진,무사,주자없음,1
4회,이인복,2사,1루,1
7회,김민수,2사,2루,1
3회,김진욱,1사,주자없음,1
1회,시라카와,2사,1루,1
5회,임기영,2사,1루,1
7회,김명신,1사,"1,3루",1
5회,임찬규,무사,주자없음,1
3회,문동주,1사,주자없음,1
4회,브랜든,1사,주자없음,1
5회,양현종,2사,2루,1
5회,김인범,1사,주자없음,1
5회,엔스,1사,주자없음,1
6회,주권,2사,2루,1
8회,노경은,2사,주자없음,1
2회,김선기,1사,1루,1
7회,조상우,무사,주자없음,1
7회,김규연,무사,주자없음,1
2회,엘리아스,무사,주자없음,1
3회,신민혁,1사,주자없음,1
2회,손주영,무사,주자없음,1
8회,임기영,2사,1루,1
4회,반즈,무사,주자없음,1
7회,정우영,2사,주자없음,1
4회,최원태,무사,주자없음,1
6회,손주영,1사,주자없음,1
3회,하트,1사,주자없음,1
8회,김상수,2사,주자없음,1
4회,손주영,무사,1루,1
5회,이영하,무사,주자없음,1
7회,이상규,무사,주자없음,1
2회,손주영,무사,1루,0
6회,조상우,1사,"1,2루",1
6회,송영진,무사,주자없음,1
6회,이교훈,무사,주자없음,1
3회,시라카와,2사,"2,3루",1
4회,조동욱,무사,1루,1
1회,임찬규,1사,"1,3루",1
3회,네일,1사,"1,2루",1
8회,김영규,무사,주자없음,0
1회,조동욱,2사,2루,1
4회,손주영,1사,"1,2루",1
8회,김범수,무사,주자없음,1
1회,김규연,1사,만루,1
7회,후라도,무사,주자없음,1
5회,이우찬,2사,1루,1
1회,카스타노,1사,2루,1
6회,엘리아스,2사,2루,1
8회,박치국,1사,1루,1
2회,켈리,1사,주자없음,1
5회,엄상백,무사,주자없음,1
8회,최준용,무사,주자없음,1
5회,문동주,1사,1루,1
1회,바리아,2사,2루,1
4회,조이현,무사,주자없음,1
1회,바리아,무사,만루,1
1회,나균안,2사,"2,3루",1
2회,쿠에바스,무사,주자없음,1
2회,반즈,무사,주자없음,1
3회,양현종,2사,"1,3루",1
7회,이민우,2사,만루,1
6회,브랜든,무사,"1,2루",0
8회,조상우,1사,"1,2루",1
2회,조영건,1사,1루,1
5회,류현진,1사,"1,3루",1
2회,이인복,1사,3루,1
6회,이우찬,1사,만루,1
1회,네일,2사,1루,1
6회,최준용,1사,1루,1
4회,엔스,2사,1루,1
8회,한승혁,무사,1루,0
3회,이인복,2사,"1,2루",1
7회,이영하,2사,"1,2루",1
