Inning,Pitcher,Out,Bases,Result
7회,서진용,무사,주자없음,0
7회,이로운,무사,주자없음,0
7회,김유영,1사,"1,2루",0
6회,윤대경,1사,주자없음,0
8회,김규연,1사,주자없음,0
5회,네일,무사,주자없음,0
5회,김명신,2사,2루,0
5회,윌커슨,2사,주자없음,0
7회,조상우,2사,주자없음,0
5회,손주영,무사,주자없음,0
4회,홍건희,2사,주자없음,0
3회,헤이수스,1사,주자없음,0
5회,켈리,1사,주자없음,0
5회,최준호,1사,주자없음,0
8회,김택연,무사,주자없음,0
2회,조동욱,2사,주자없음,0
6회,김대현,1사,1루,0
4회,박소준,2사,주자없음,0
6회,이영하,2사,"1,3루",0
7회,김승현,무사,주자없음,0
4회,이준호,1사,주자없음,0
2회,나균안,무사,1루,0
6회,박윤성,2사,주자없음,0
7회,주권,1사,주자없음,0
8회,한승주,1사,1루,0
9회,김사윤,무사,주자없음,0
7회,최성영,무사,주자없음,0
6회,후라도,2사,주자없음,0
8회,김선기,2사,1루,0
8회,최동환,2사,"1,2루",0
3회,최준호,2사,주자없음,0
9회,박민호,1사,1루,0
5회,김택형,2사,주자없음,0
7회,성재헌,무사,주자없음,0
7회,김동혁,1사,주자없음,0
6회,장시환,1사,주자없음,0
9회,박윤성,무사,주자없음,0
8회,이영하,1사,주자없음,0
8회,김서현,2사,주자없음,1
9회,이명종,무사,만루,1
9회,박민호,2사,1루,0
9회,박진,2사,주자없음,1
9회,이상영,1사,주자없음,1
8회,박민호,무사,1루,1
9회,박진,2사,"1,3루",1
9회,박영현,무사,주자없음,1
9회,이용찬,1사,1루,0
7회,주권,2사,주자없음,1
8회,박진형,1사,주자없음,1
9회,전상현,1사,주자없음,1
9회,문성현,2사,주자없음,1
2회,곽빈,1사,1루,0
8회,전준표,1사,"2,3루",0
9회,한두솔,무사,주자없음,1
2회,송영진,1사,1루,0
5회,김성민,1사,"1,2루",1
7회,한승혁,무사,주자없음,1
8회,장민재,무사,주자없음,1
8회,켈리,무사,주자없음,1
2회,김호준,1사,"2,3루",0
9회,김인범,무사,주자없음,1
4회,윤영철,2사,주자없음,1
4회,이준호,무사,주자없음,1
6회,성재헌,2사,1루,1
9회,정우준,2사,1루,1
7회,김민수,1사,주자없음,1
6회,켈리,2사,"1,3루",1
2회,장시환,1사,주자없음,1
2회,문동주,2사,주자없음,1
7회,류현진,2사,1루,1
3회,반즈,2사,주자없음,1
3회,조이현,2사,주자없음,1
1회,최원태,무사,1루,0
7회,윌커슨,2사,1루,1
6회,주권,무사,주자없음,1
8회,한승혁,무사,주자없음,0
7회,이로운,1사,주자없음,1
2회,조동욱,무사,주자없음,1
7회,문동주,2사,주자없음,1
5회,손주영,2사,1루,1
6회,후라도,1사,주자없음,1
7회,배재환,2사,주자없음,1
3회,고영표,2사,1루,1
6회,박상원,2사,주자없음,1
3회,조이현,1사,주자없음,1
3회,네일,무사,주자없음,1
1회,나균안,1사,주자없음,1
4회,박진,1사,3루,1
3회,문동주,1사,주자없음,1
3회,오원석,1사,주자없음,1
9회,구승민,무사,1루,1
3회,켈리,1사,주자없음,1
4회,손주영,무사,주자없음,1
3회,최원태,1사,주자없음,1
2회,임찬규,1사,주자없음,1
9회,송명기,무사,1루,1
1회,김호준,무사,주자없음,1
1회,곽빈,무사,주자없음,1
9회,전상현,1사,2루,1
1회,이재학,무사,주자없음,1
1회,박소준,무사,주자없음,1
1회,이종민,무사,주자없음,1
1회,문동주,무사,주자없음,1
1회,최원태,무사,주자없음,1
1회,송영진,무사,주자없음,1
1회,양현종,무사,주자없음,1
1회,나균안,무사,주자없음,1
1회,송영진,무사,주자없음,1
1회,엘리아스,무사,주자없음,1
1회,엄상백,무사,주자없음,1
1회,조영건,무사,주자없음,1
1회,후라도,무사,주자없음,1
1회,조이현,무사,주자없음,1
1회,브랜든,무사,주자없음,1
1회,바리아,무사,주자없음,1
1회,엔스,무사,주자없음,1
1회,임찬규,무사,주자없음,1
6회,켈리,1사,주자없음,1
5회,쿠에바스,1사,주자없음,0
3회,한두솔,1사,만루,1
7회,한재승,무사,주자없음,1
6회,한현희,1사,1루,1
6회,이상영,무사,주자없음,1
1회,헤이수스,무사,주자없음,1
1회,바리아,무사,주자없음,0
7회,최지민,1사,주자없음,1
7회,임준형,1사,2루,1
3회,김동주,무사,주자없음,1
4회,곽빈,무사,주자없음,1
6회,임찬규,무사,주자없음,1
6회,엘리아스,무사,주자없음,1
5회,김시훈,1사,1루,1
6회,곽빈,무사,주자없음,1
5회,조이현,1사,1루,1
1회,이인복,무사,주자없음,1
4회,하영민,1사,2루,1
9회,유영찬,1사,주자없음,1
3회,신민혁,무사,1루,1
4회,정철원,1사,1루,1
2회,송영진,1사,2루,1
6회,양현종,1사,주자없음,1
8회,장지수,무사,주자없음,1
3회,하영민,무사,주자없음,1
5회,반즈,무사,1루,1
7회,김범수,무사,주자없음,1
4회,시라카와,2사,"1,2루",0
8회,박진형,2사,3루,1
5회,문동주,1사,1루,1
9회,이용찬,무사,주자없음,1
5회,조동욱,무사,주자없음,1
7회,한현희,무사,주자없음,1
5회,김인범,2사,"1,3루",1
5회,오원석,2사,"1,2루",0
7회,주권,2사,2루,1
8회,최준용,1사,"2,3루",1
8회,김진성,2사,만루,1
8회,문승원,2사,"1,2루",1
3회,최준호,1사,"1,2루",1
6회,나균안,1사,"1,2루",1
