Inning,Pitcher,Out,Bases,Result
2회,류현진,무사,주자없음,0
2회,오원석,2사,주자없음,0
2회,김인범,2사,주자없음,0
4회,김진욱,1사,주자없음,0
4회,최준호,1사,주자없음,0
2회,엔스,2사,주자없음,0
2회,이상영,2사,주자없음,0
2회,양현종,2사,주자없음,0
4회,김택형,1사,주자없음,0
6회,엔스,무사,주자없음,0
5회,켈리,1사,주자없음,0
8회,김민,1사,1루,0
7회,이병헌,무사,주자없음,0
6회,한두솔,1사,주자없음,0
9회,김범수,1사,1루,0
7회,김명신,1사,"1,2루",0
6회,쿠에바스,1사,주자없음,0
1회,이재학,2사,주자없음,0
7회,전미르,무사,1루,0
9회,윤중현,2사,"2,3루",0
8회,이로운,2사,1루,0
3회,쿠에바스,2사,주자없음,0
8회,이지강,2사,주자없음,0
5회,원상현,2사,주자없음,0
8회,켈리,1사,주자없음,0
5회,김선기,1사,주자없음,0
9회,이준호,2사,3루,0
8회,김상수,2사,주자없음,0
4회,헤이수스,무사,주자없음,0
3회,박소준,1사,2루,0
8회,김민,2사,주자없음,0
9회,이로운,1사,1루,0
3회,이인복,2사,주자없음,0
6회,오원석,2사,주자없음,0
6회,켈리,1사,주자없음,0
7회,김명신,무사,주자없음,0
7회,김민수,2사,주자없음,0
5회,이영하,2사,2루,0
9회,박영현,2사,주자없음,0
6회,이준호,무사,주자없음,0
5회,송명기,1사,2루,0
8회,문성현,무사,주자없음,0
8회,켈리,1사,"1,2루",0
6회,김범수,2사,주자없음,0
3회,신민혁,1사,주자없음,0
6회,손주영,2사,주자없음,0
7회,박진형,2사,주자없음,0
8회,박승주,무사,주자없음,0
9회,신영우,무사,"2,3루",0
2회,최준호,2사,1루,0
9회,윤중현,2사,2루,0
3회,카스타노,2사,주자없음,0
5회,곽빈,1사,주자없음,0
7회,이로운,2사,2루,0
7회,우강훈,1사,주자없음,0
8회,김윤하,무사,주자없음,0
7회,배재환,1사,주자없음,0
8회,한두솔,1사,만루,0
9회,주현상,1사,주자없음,0
8회,김영준,무사,주자없음,0
4회,한두솔,무사,주자없음,0
8회,김선기,무사,1루,0
7회,정철원,2사,1루,0
4회,류현진,1사,1루,0
8회,김재열,1사,주자없음,0
9회,정지헌,2사,만루,0
7회,김택연,2사,주자없음,0
6회,김동혁,무사,주자없음,0
9회,오석주,2사,"1,2루",0
9회,정우준,1사,"2,3루",0
7회,박윤성,2사,주자없음,0
8회,김호준,2사,2루,0
7회,최성영,2사,1루,0
6회,장시환,2사,1루,0
8회,이명종,2사,"1,2루",0
8회,이종준,무사,주자없음,0
8회,김영현,1사,1루,0
7회,박치국,무사,주자없음,0
9회,박치국,2사,주자없음,0
9회,최준용,2사,1루,0
8회,박민호,2사,"1,2루",0
7회,김유영,1사,주자없음,1
6회,진해수,무사,1루,1
8회,박민호,무사,주자없음,1
8회,임준섭,2사,주자없음,1
7회,한승혁,2사,1루,1
9회,한현희,1사,"1,2루",1
5회,최준호,무사,2루,1
6회,장민재,2사,2루,0
7회,성재헌,무사,2루,1
6회,우규민,1사,주자없음,1
5회,박진,무사,2루,1
1회,김유영,2사,주자없음,0
7회,조병현,2사,주자없음,0
3회,송영진,2사,주자없음,1
6회,배재환,2사,주자없음,1
6회,이건욱,2사,3루,1
4회,이인복,2사,주자없음,1
1회,곽빈,2사,주자없음,1
2회,하트,2사,주자없음,1
1회,조동욱,1사,주자없음,0
6회,김택연,2사,주자없음,1
5회,김선기,2사,주자없음,1
5회,앤더슨,2사,주자없음,1
3회,후라도,2사,주자없음,1
7회,김규연,1사,1루,1
7회,이민우,무사,주자없음,1
4회,정지헌,무사,1루,0
9회,김진수,1사,주자없음,1
6회,이인복,1사,주자없음,1
4회,후라도,1사,주자없음,1
6회,황준서,무사,주자없음,1
6회,김유성,무사,주자없음,1
2회,오원석,2사,1루,1
2회,크로우,2사,주자없음,1
4회,시라카와,1사,주자없음,0
2회,최준호,1사,주자없음,1
1회,반즈,2사,1루,1
3회,임찬규,무사,주자없음,1
8회,박정수,2사,1루,1
7회,곽도규,무사,주자없음,0
8회,김민,무사,주자없음,1
3회,켈리,1사,주자없음,1
4회,후라도,1사,주자없음,1
2회,이종민,무사,주자없음,1
2회,류현진,무사,주자없음,1
4회,정지헌,무사,주자없음,1
7회,이형범,1사,1루,1
3회,알드레드,무사,주자없음,1
6회,켈리,무사,"1,2루",1
6회,이재학,1사,주자없음,1
5회,헤이수스,무사,주자없음,1
2회,류현진,무사,주자없음,1
4회,산체스,1사,1루,1
3회,곽빈,1사,주자없음,1
8회,김상수,무사,주자없음,1
4회,하트,1사,1루,1
2회,헤이수스,1사,주자없음,1
7회,엄상백,2사,1루,1
4회,나균안,1사,1루,1
6회,성재헌,무사,주자없음,1
1회,김규연,1사,"1,2루",1
10회,강건,2사,만루,1
7회,노경은,1사,2루,1
7회,이우찬,무사,1루,0
7회,한승혁,2사,"1,2루",1
4회,정철원,2사,"1,2루",1
9회,조병현,1사,주자없음,0
9회,유영찬,1사,주자없음,1
2회,네일,무사,주자없음,1
6회,조상우,무사,주자없음,1
8회,최지민,무사,주자없음,1
9회,김원중,1사,주자없음,1
4회,후라도,무사,주자없음,0
4회,손주영,2사,1루,0
1회,카스타노,1사,"1,3루",1
8회,임정호,1사,1루,1
4회,켈리,1사,주자없음,1
9회,김원중,무사,주자없음,1
7회,김영규,2사,"1,2루",1
2회,후라도,1사,"1,2루",1
2회,신민혁,무사,주자없음,1
2회,김호준,무사,주자없음,1
2회,켈리,무사,주자없음,1
1회,윌커슨,2사,2루,1
3회,윤영철,2사,2루,1
1회,송영진,2사,"1,2루",1
3회,바리아,1사,주자없음,1
2회,최원준,2사,3루,1
3회,양현종,2사,"1,3루",1
4회,엔스,2사,주자없음,1
6회,김광현,무사,주자없음,1
6회,브랜든,무사,만루,1
1회,김광현,1사,"1,2루",1
4회,황준서,2사,2루,1
6회,전미르,1사,1루,1
10회,박진,2사,1루,1
4회,조이현,무사,1루,1
1회,문동주,1사,만루,1
6회,김시훈,1사,주자없음,1
4회,양현종,2사,"1,2루",1
6회,네일,무사,주자없음,1
3회,바리아,2사,1루,1
3회,김동주,2사,3루,1
5회,벤자민,2사,만루,1
5회,류현진,1사,2루,1
5회,김범수,2사,2루,1
6회,서진용,2사,"1,2루",1
7회,한재승,2사,만루,1
8회,박영현,1사,"2,3루",1
