Inning,Pitcher,Out,Bases,Result
5회,양현종,무사,주자없음,1
5회,후라도,2사,"1,2루",1
4회,김시훈,1사,주자없음,1
3회,송영진,무사,"1,2루",1
5회,조영건,무사,주자없음,1
4회,문동주,1사,주자없음,1
8회,김재열,무사,주자없음,1
2회,후라도,1사,1루,1
4회,쿠에바스,2사,"1,2루",1
3회,네일,2사,2루,0
6회,김택연,무사,주자없음,1
2회,최원태,무사,주자없음,1
2회,켈리,1사,1루,1
3회,황준서,무사,주자없음,1
6회,김광현,1사,주자없음,1
3회,곽빈,무사,주자없음,1
4회,하영민,무사,주자없음,1
8회,박영현,1사,주자없음,1
4회,한승혁,무사,주자없음,1
4회,신민혁,무사,주자없음,1
5회,고영표,무사,주자없음,1
8회,김재웅,1사,"1,2루",1
7회,하트,2사,"1,2루",1
1회,헤이수스,무사,주자없음,1
8회,조병현,1사,주자없음,1
1회,켈리,2사,"1,2루",1
7회,김진성,무사,1루,1
7회,이상동,무사,주자없음,1
7회,이교훈,무사,주자없음,1
4회,김광현,무사,"1,3루",1
1회,조동욱,1사,만루,1
8회,김상수,1사,1루,1
8회,김민,무사,1루,1
7회,한현희,1사,3루,1
9회,홍건희,2사,"1,2루",1
1회,김광현,2사,"1,3루",1
4회,후라도,1사,2루,0
9회,박영현,무사,주자없음,0
6회,이재학,1사,1루,1
6회,이우찬,1사,만루,1
2회,앤더슨,무사,1루,1
6회,켈리,2사,"1,3루",1
6회,양현종,1사,2루,0
6회,구승민,2사,만루,1
3회,이인복,1사,"1,2루",1
8회,조병현,2사,1루,1
9회,박영현,2사,"1,3루",1
