Inning,Pitcher,Out,Bases,Result
9회,정우준,2사,"2,3루",1
3회,최준호,무사,1루,1
8회,최민준,2사,주자없음,1
5회,황준서,2사,1루,1
9회,박영현,2사,1루,0
5회,엔스,2사,"1,2루",1
1회,후라도,무사,1루,1
1회,나균안,2사,"1,2루",1
1회,임찬규,2사,"1,3루",1
4회,알드레드,1사,주자없음,1
9회,박영현,1사,주자없음,1
1회,앤더슨,무사,주자없음,1
8회,최지민,무사,만루,1
3회,알드레드,무사,1루,1
3회,양현종,1사,주자없음,1
10회,전상현,1사,"1,2루",1
8회,장현식,1사,주자없음,1
6회,구승민,2사,3루,1
5회,장현식,2사,"1,3루",1
5회,후라도,1사,1루,1
9회,전상현,1사,3루,1
9회,김영규,2사,주자없음,1
