Inning,Pitcher,Out,Bases,Result
1회,양현종,2사,주자없음,0
1회,최원준,2사,주자없음,0
7회,김영규,2사,주자없음,0
5회,켈리,2사,1루,0
7회,홍민기,2사,1루,0
4회,곽빈,2사,"1,3루",0
3회,카스타노,1사,주자없음,0
8회,김대현,1사,주자없음,0
5회,성재헌,1사,주자없음,0
3회,이인복,2사,주자없음,0
8회,김호준,1사,만루,0
6회,김대현,2사,"1,2루",0
8회,김유영,2사,주자없음,0
6회,백승현,2사,3루,0
2회,조동욱,무사,1루,0
3회,최준호,2사,주자없음,0
8회,송명기,무사,1루,0
5회,송영진,2사,주자없음,0
6회,윤대경,2사,주자없음,0
4회,켈리,2사,주자없음,0
8회,김도현,2사,"1,3루",0
8회,이상동,무사,주자없음,0
5회,이준호,무사,주자없음,1
5회,김성민,1사,만루,0
9회,황동하,무사,주자없음,0
5회,켈리,2사,주자없음,0
5회,네일,2사,주자없음,0
1회,김시훈,무사,"1,2루",0
6회,카스타노,무사,주자없음,0
7회,켈리,2사,주자없음,0
9회,전상현,1사,1루,0
9회,김택연,1사,주자없음,0
8회,임준섭,무사,주자없음,0
7회,박윤성,1사,주자없음,0
8회,서진용,1사,만루,0
6회,구승민,2사,주자없음,0
8회,김택연,2사,주자없음,0
8회,김진성,2사,주자없음,0
6회,김명신,1사,주자없음,0
2회,카스타노,2사,주자없음,0
9회,정우준,2사,2루,0
5회,손주영,2사,주자없음,0
8회,한두솔,무사,"1,2루",0
7회,김택연,무사,주자없음,0
7회,한승혁,무사,2루,0
4회,최준호,1사,주자없음,0
7회,정철원,1사,주자없음,0
7회,최성영,1사,1루,0
3회,류현진,2사,1루,0
7회,김대현,무사,주자없음,0
9회,박치국,무사,2루,0
9회,박진,2사,"1,2루",0
6회,장시환,무사,주자없음,0
8회,이영하,2사,1루,0
9회,박민호,2사,1루,0
5회,엘리아스,2사,주자없음,0
8회,송명기,2사,주자없음,0
5회,후라도,1사,2루,0
6회,최준호,1사,주자없음,1
8회,김동혁,무사,주자없음,1
8회,전루건,1사,1루,1
6회,김윤하,2사,주자없음,1
6회,주권,무사,"1,3루",0
8회,서의태,무사,"1,2루",1
6회,이건욱,무사,1루,1
9회,한현희,무사,1루,1
9회,김범수,1사,1루,0
3회,한두솔,1사,"2,3루",1
7회,박윤성,1사,1루,1
8회,김윤하,2사,"2,3루",1
10회,전상현,무사,주자없음,1
7회,김명신,1사,주자없음,1
9회,김범수,무사,주자없음,1
4회,조영건,2사,1루,1
1회,신민혁,2사,주자없음,0
1회,윤영철,2사,주자없음,1
1회,윌커슨,2사,주자없음,1
1회,이인복,2사,주자없음,1
1회,조이현,2사,주자없음,1
8회,김재웅,1사,주자없음,1
9회,한두솔,무사,1루,1
7회,이로운,2사,3루,1
7회,김성민,1사,1루,1
3회,헤이수스,2사,1루,0
4회,윌커슨,1사,주자없음,1
1회,곽빈,1사,3루,0
3회,하영민,1사,3루,0
1회,양현종,1사,3루,0
1회,앤더슨,2사,주자없음,1
3회,후라도,2사,1루,1
3회,김유영,1사,주자없음,1
5회,김범수,무사,1루,0
3회,김진욱,2사,1루,1
5회,신민혁,2사,주자없음,1
4회,헤이수스,1사,주자없음,1
4회,류현진,무사,주자없음,1
8회,장지수,2사,주자없음,1
8회,김민,2사,주자없음,1
7회,임정호,2사,주자없음,1
6회,한현희,1사,주자없음,1
6회,페냐,2사,1루,1
5회,송명기,무사,주자없음,1
3회,후라도,1사,주자없음,1
8회,켈리,1사,2루,1
4회,김인범,1사,주자없음,1
8회,김건국,무사,주자없음,1
8회,김민,1사,1루,1
