Inning,Pitcher,BC,Result,Prev
8회말,주권,1 (0-0),중견수 플라이 아웃,2사  1:3
3회말,곽빈,3 (0-2),헛스윙 삼진,2사  0:5
6회말,서진용,7 (3-2),투수 땅볼 아웃,2사  3:7
6회초,임기영,1 (0-0),중견수 플라이 아웃,2사  3:9
6회말,이준호,5 (3-1),3루수 땅볼 아웃,1사  2:7
7회말,송명기,7 (2-2),우익수 직선타 아웃,2사  8:2
9회말,박진,5 (3-1),포수 플라이 아웃,무사  9:2
5회말,김택형,3 (1-1),중견수 플라이 아웃,1사  1:8
8회초,최이준,6 (2-2),헛스윙 삼진,2사 2루 11:4
7회초,김유영,1 (0-0),좌익수 플라이 아웃,"1사 1,2루 0:14"
8회말,박신지,7 (2-2),헛스윙 삼진,1사  0:5
9회초,주현상,5 (0-2),3루수 땅볼 아웃,2사  1:6
9회초,최준용,2 (0-1),2루수 땅볼 아웃,무사  1:9
9회초,이상영,5 (2-2),헛스윙 삼진,무사  7:1
8회초,임준형,2 (0-1),중견수 플라이 아웃,무사  1:11
7회말,이건욱,4 (1-2),좌익수 플라이 아웃,무사 1루 2:10
9회초,강건,2 (0-1),2루수 병살타 아웃,1사 만루 11:1
9회초,최동환,7 (3-2),좌익수 희생플라이 아웃,1사 만루 0:18
9회초,김건국,6 (3-2),낫아웃 폭투 출루,1사 2루 5:3
6회말,진해수,4 (1-2),우익수 방면 1루타,무사 2루 4:16
8회말,이민석,1 (0-0),중견수 방면 1루타,1사  4:17
8회말,장지훈,3 (0-2),1루수 땅볼 아웃,2사 1루 4:12
8회말,박치국,4 (3-0),4구,1사  1:9
8회초,김영준,2 (0-1),우익수 방면 1루타,2사 1루 7:0
8회말,한두솔,6 (3-2),4구,2사 1루 3:8
8회초,김영현,2 (1-0),좌익수 방면 2루타,무사 2루 9:1
8회초,서의태,5 (3-1),4구,무사 1루 0:10
9회초,정지헌,1 (0-0),중견수 방면 1루타,1사  5:11
7회초,구승민,3 (1-1),좌익수 방면 1루타,2사  7:4
8회말,송명기,1 (0-0),좌익수 방면 2루타,무사 1루 5:9
1회말,곽빈,4 (2-1),우익수 희생플라이 아웃,"1사 2,3루 0:3"
8회말,김윤하,4 (1-2),3루수 방면 2루타,1사 1루 8:1
5회말,박진,4 (2-1),중견수 방면 1루타,"1사 1,2루 4:9"
8회말,이민우,1 (0-0),우익수 방면 2루타,무사  6:9
9회말,전준표,2 (1-0),사구,무사 1루 11:5
9회말,구승민,5 (3-1),4구,무사  10:5
2회초,바리아,2 (0-1),좌익수 방면 1루타,2사  1:0
5회초,손주영,3 (1-1),1루수 포구실책 출루,2사  1:4
4회말,김택형,2 (1-0),사구,"2사 1,2루 2:5"
5회초,엔스,1 (0-0),사구,1사 2루 3:1
6회말,성재헌,2 (0-1),우익수 방면 1루타,1사  1:3
4회말,이재학,3 (2-0),좌익수 방면 1루타,1사  2:4
2회말,벤자민,8 (3-2),4구,2사 1루 0:0
5회말,류현진,1 (0-0),우익수 방면 2루타,1사  6:1
1회말,조이현,5 (3-1),투수 방면 내야 안타,1사  0:0
4회초,임찬규,3 (1-1),중견수 방면 1루타,무사  2:0
4회말,박진,4 (2-1),좌익수 방면 2루타,무사  4:7
4회초,바리아,5 (3-1),우익수 방면 1루타,무사 1루 3:0
8회말,조상우,5 (3-1),4구,1사 1루 5:1
7회초,류현진,4 (1-2),좌익수 희생플라이 아웃,"1사 1,3루 1:0"
2회초,최원태,5 (3-1),4구,무사 2루 0:1
7회말,곽도규,4 (3-0),4구,1사  2:2
3회말,김광현,1 (0-0),중견수 방면 1루타,1사 2루 2:3
5회말,반즈,2 (0-1),중견수 방면 1루타,무사  4:1
5회말,벤자민,4 (2-1),중견수 방면 1루타,무사  1:0
5회초,나균안,2 (0-1),좌익수 방면 2루타,1사  0:1
9회초,전상현,1 (0-0),1루수 방면 1루타,"1사 1,3루 5:4"
8회말,이용찬,3 (0-2),사구,"2사 1,3루 4:2"
8회말,최준용,9 (3-2),4구,무사 2루 6:5
6회초,임찬규,2 (1-0),우익수 방면 1루타,무사 1루 2:0
7회초,김유영,5 (2-2),좌익수 방면 1루타,1사 만루 2:0
6회말,더거,2 (1-0),우익수 방면 2루타,1사  3:2
4회말,더거,7 (2-2),중견수 방면 3루타,무사  3:0
2회초,류현진,3 (1-1),좌익수 방면 1루타,"2사 1,2루 0:0"
7회초,최지민,4 (2-1),좌익수 방면 1루타,1사 1루 3:3
8회말,조병현,2 (0-1),좌익수 방면 2루타,무사 1루 8:5
10회초,박영현,2 (1-0),중견수 방면 1루타,1사 만루 2:2
