Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
05-29,키움,2회말,헤이수스,6 박병호,5 (3-1),우익수 플라이 아웃,1사 2루 1:0,2사 3루 1:0,1.38,0.789,-0.356,42.7%,-0.034
06-16,NC,6회초,김시훈,5 박병호,3 (1-1),3루수 땅볼 아웃,무사  2:2,1사  2:2,1.34,0.569,-0.270,53.4%,-0.034
06-18,SSG,6회말,앤더슨,7 박병호,6 (2-2),우익수 플라이 아웃,1사 1루 5:2,2사 1루 5:2,1.40,0.562,-0.324,12.8%,-0.034
06-18,SSG,8회말,노경은,7 박병호,2 (0-1),중견수 플라이 아웃,1사 1루 6:3,2사 1루 6:3,1.38,0.562,-0.324,5.5%,-0.034
06-02,한화,6회말,문동주,4 박병호,6 (3-2),헛스윙 삼진,무사  0:0,1사  0:0,1.32,0.567,-0.270,54.2%,-0.034
05-22,삼성,4회초,코너,6 박병호,5 (0-2),헛스윙 삼진,1사 1루 1:3,2사 1루 1:3,1.38,0.551,-0.314,76.3%,-0.033
06-08,키움,3회초,후라도,4 박병호,4 (1-2),헛스윙 삼진,1사 1루 2:3,2사 1루 2:3,1.39,0.550,-0.307,64.4%,-0.033
03-26,두산,1회말,곽빈,4 박병호,4 (1-2),낫아웃 삼진,2사 2루 0:0,이닝종료 0:0,1.14,0.380,-0.380,50.0%,-0.032
06-02,한화,1회말,문동주,4 박병호,2 (1-0),유격수 땅볼 아웃,2사 2루 0:0,이닝종료 0:0,1.14,0.396,-0.396,50.0%,-0.032
04-05,LG,10회초,우강훈,7 박병호,3 (2-0),선행주자아웃 출루,"2사 1,2루 8:7",이닝종료 8:7,1.25,0.497,-0.497,20.0%,-0.032
06-05,SSG,1회초,앤더슨,4 박병호,3 (2-0),중견수 플라이 아웃,2사 2루 0:0,이닝종료 0:0,1.12,0.394,-0.394,54.8%,-0.032
06-07,키움,1회초,조영건,4 박병호,4 (1-2),우익수 플라이 아웃,2사 2루 0:0,이닝종료 0:0,1.12,0.396,-0.396,54.8%,-0.032
