Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
05-17,한화,6회말,황준서,4 김영웅,1 (0-0),좌익수 방면 1루타,무사  2:4,무사 1루 2:4,0.50,0.559,0.418,86.8%,0.019
05-22,KT,1회말,쿠에바스,4 김영웅,6 (3-2),좌익수 희생플라이 아웃,1사 3루 0:1,2사  0:2,1.21,1.018,0.099,70.9%,0.020
06-23,두산,6회말,김유성,7 김영웅,2 (0-1),중견수 방면 2루타,무사  1:4,무사 2루 1:4,0.30,0.579,0.688,93.5%,0.021
06-06,SSG,2회초,오원석,7 김영웅,2 (0-1),3루수 방면 내야 안타,2사 1루 0:1,"2사 1,2루 0:1",0.86,0.241,0.265,61.2%,0.022
03-29,SSG,5회말,김광현,9 김영웅,5 (3-1),4구,1사  5:1,1사 1루 5:1,0.50,0.274,0.259,12.0%,0.022
04-30,두산,6회초,곽빈,5 김영웅,4 (3-0),4구,"2사 2,3루 0:2",2사 만루 0:2,2.80,0.634,0.223,74.2%,0.023
04-05,KIA,2회초,크로우,7 김영웅,10 (3-2),중견수 방면 2루타,2사  0:1,2사 2루 0:1,0.42,0.111,0.279,62.3%,0.023
07-13,두산,4회초,시라카와,6 김영웅,3 (1-1),1루수 포구실책 출루,1사  2:5,1사 1루 2:5,0.59,0.301,0.268,81.5%,0.025
06-21,두산,2회말,최준호,5 김영웅,2 (0-1),우익수 방면 1루타,1사  0:0,1사 1루 0:0,0.67,0.302,0.260,55.3%,0.026
05-26,롯데,1회초,반즈,4 김영웅,4 (1-2),우익수 방면 1루타,2사 1루 0:0,"2사 1,3루 0:0",0.79,0.242,0.323,50.0%,0.026
03-24,KT,2회초,엄상백,9 김영웅,10 (3-2),4구,무사  2:0,무사 1루 2:0,0.68,0.529,0.417,27.2%,0.027
08-01,LG,3회초,임찬규,5 김영웅,4 (2-1),우익수 방면 1루타,무사  2:0,무사 1루 2:0,0.69,0.592,0.444,25.7%,0.027
05-02,두산,8회초,박정수,7 김영웅,5 (3-1),중견수 방면 1루타,2사 1루 2:1,"2사 1,3루 2:1",0.88,0.227,0.290,25.2%,0.027
