Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
08-06,한화,7회말,한승혁,2 윤정빈,3 (1-1),1루수 땅볼 아웃,1사  8:4,2사  8:4,0.43,0.305,-0.187,4.0%,-0.011
08-01,LG,7회초,김유영,2 윤정빈,7 (3-2),루킹 삼진,"2사 1,2루 4:0",이닝종료 4:0,0.39,0.500,-0.500,6.9%,-0.010
07-11,NC,3회말,신민혁,7 윤정빈,8 (1-2),유격수 땅볼 아웃,2사 2루 0:5,이닝종료 0:5,0.27,0.393,-0.393,92.4%,-0.008
07-02,KIA,4회말,네일,8 윤정빈,2 (1-0),중견수 플라이 아웃,1사  1:4,2사  1:4,0.30,0.303,-0.185,84.6%,-0.008
07-14,두산,8회초,김유성,6 윤정빈,6 (2-2),헛스윙 삼진,무사  5:2,1사  5:2,0.26,0.581,-0.280,7.6%,-0.007
06-13,LG,7회말,켈리,9 윤정빈,4 (2-1),좌익수 플라이 아웃,2사  3:5,이닝종료 3:5,0.22,0.120,-0.120,86.6%,-0.006
07-28,KT,7회말,주권,8 윤정빈,3 (1-1),2루수 땅볼 아웃,무사  0:3,1사  0:3,0.21,0.586,-0.284,93.8%,-0.006
07-14,두산,9회초,박정수,6 윤정빈,5 (2-2),헛스윙 삼진,2사 만루 6:2,이닝종료 6:2,0.18,0.790,-0.790,1.8%,-0.005
06-23,두산,7회말,김명신,6 윤정빈,3 (1-1),우익수 플라이 아웃,1사  4:7,2사  4:7,0.16,0.303,-0.183,93.4%,-0.004
06-21,두산,6회말,이영하,7 윤정빈,4 (1-2),루킹 삼진,무사 1루 2:7,1사 1루 2:7,0.14,0.992,-0.431,97.5%,-0.003
07-10,NC,7회말,배재환,8 윤정빈,4 (1-2),헛스윙 삼진,2사 1루 6:10,이닝종료 6:10,0.11,0.234,-0.234,96.5%,-0.003
07-04,KIA,9회말,황동하,6 윤정빈,7 (2-2),루킹 삼진,2사 1루 8:3,이닝종료 8:3,0.05,0.235,-0.235,0.0%,-0.002
07-30,LG,8회초,김영준,6 윤정빈,3 (1-1),유격수 땅볼 아웃,1사  6:1,2사  6:1,0.05,0.303,-0.186,2.0%,-0.001
08-04,SSG,8회말,한두솔,9 윤정빈,4 (1-2),헛스윙 삼진,"2사 1,2루 3:8",이닝종료 3:8,0.04,0.501,-0.501,99.4%,-0.001
06-19,SSG,7회말,최민준,6 윤정빈,6 (2-2),헛스윙 삼진,2사  2:8,이닝종료 2:8,0.02,0.120,-0.120,99.2%,0.000
07-20,롯데,5회말,진해수,3 윤정빈,3 (1-1),2루수 땅볼 아웃,2사 2루 4:13,이닝종료 4:13,0.01,0.397,-0.397,99.6%,0.000
08-07,한화,8회말,이민우,2 윤정빈,3 (2-0),2루수 땅볼 아웃,무사 2루 6:9,1사 3루 6:9,0.13,1.288,-0.244,98.1%,0.000
08-01,LG,9회초,최동환,2 윤정빈,2 (0-1),좌익수 플라이 아웃,무사  7:0,1사  7:0,0.01,0.592,-0.287,0.1%,0.000
06-19,SSG,8회말,박민호,6 윤정빈,3 (1-1),좌익수 플라이 아웃,"1사 1,2루 2:13","2사 1,2루 2:13",0.00,1.048,-0.545,100.0%,0.000
07-10,NC,8회말,전루건,8 윤정빈,2 (1-0),1루수 땅볼 아웃,2사 1루 6:15,이닝종료 6:15,0.00,0.234,-0.234,100.0%,0.000
07-20,롯데,6회말,진해수,3 윤정빈,6 (2-2),1루수 땅볼 아웃,"2사 1,2루 4:17",이닝종료 4:17,0.01,0.481,-0.481,100.0%,0.000
07-20,롯데,8회말,이민석,3 윤정빈,4 (1-2),우익수 방면 1루타,"2사 1,2루 4:18",2사 3루 4:20,0.00,0.481,1.943,100.0%,0.000
06-28,KT,6회초,성재헌,6 윤정빈,2 (1-0),우익수 희생플라이 아웃,무사 3루 3:0,1사  4:0,0.44,1.363,-0.059,8.6%,0.000
07-31,LG,8회초,임준형,1 윤정빈,3 (1-1),좌익수 방면 2루타,1사  1:11,1사 2루 1:11,0.00,0.305,0.508,100.0%,0.000
06-09,키움,9회초,오석주,3 윤정빈,5 (2-2),중견수 방면 1루타,1사  7:1,1사 1루 7:1,0.01,0.295,0.257,0.2%,0.000
08-03,SSG,7회말,이건욱,2 윤정빈,5 (3-1),4구,"1사 1,2루 2:10",1사 만루 2:10,0.01,1.120,0.846,99.9%,0.000
08-03,SSG,6회말,이건욱,2 윤정빈,7 (2-2),중견수 방면 1루타,무사  2:8,무사 1루 2:8,0.05,0.593,0.446,98.9%,0.002
