Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
05-30,키움,2회말,이종민,8 이병헌,5 (3-1),4구,2사 3루 0:1,"2사 1,3루 0:1",1.22,0.431,0.131,65.8%,0.010
08-04,SSG,3회말,김광현,9 이병헌,4 (1-2),3루수 땅볼 아웃,"1사 2,3루 2:3",2사 3루 2:4,1.37,1.619,-0.181,76.0%,0.011
05-23,KT,4회말,원상현,9 이병헌,6 (3-2),4구,2사 2루 5:1,"2사 1,2루 5:1",0.82,0.392,0.113,13.5%,0.012
05-24,롯데,8회초,최이준,8 이병헌,3 (1-1),중견수 방면 2루타,"2사 2,3루 9:4",2사 2루 11:4,0.14,0.616,1.774,0.4%,0.012
04-28,키움,2회초,하영민,8 이병헌,3 (0-2),유격수 방면 내야 안타,2사  1:2,2사 1루 1:2,0.42,0.119,0.118,63.3%,0.013
05-29,키움,6회말,조상우,8 이병헌,3 (1-1),우익수 방면 1루타,2사  8:5,2사 1루 8:5,0.39,0.117,0.125,12.8%,0.014
04-30,두산,7회초,곽빈,8 이병헌,6 (2-2),좌익수 방면 1루타,1사  0:4,1사 1루 0:4,0.35,0.304,0.262,94.1%,0.017
06-30,KT,7회초,김민,8 이병헌,2 (3-0),4구,2사  1:1,2사 1루 1:1,0.78,0.118,0.117,54.6%,0.021
06-23,두산,2회말,김동주,8 이병헌,1 (0-0),우익수 방면 2루타,2사  2:1,2사 2루 2:1,0.46,0.119,0.280,42.2%,0.024
05-29,키움,3회말,헤이수스,8 이병헌,3 (1-1),좌익수 뒤 홈런,무사  7:0,무사  7:1,0.29,0.564,1.000,6.8%,0.025
04-30,두산,5회초,곽빈,8 이병헌,4 (1-2),3루수 방면 내야 안타,2사 1루 0:2,"2사 1,2루 0:2",0.98,0.234,0.258,76.2%,0.026
05-09,KIA,4회말,네일,8 이병헌,1 (0-0),좌익수 방면 1루타,2사 1루 2:1,"2사 1,2루 2:1",1.09,0.228,0.255,41.7%,0.027
06-05,SSG,7회초,고효준,9 이병헌,2 (0-1),중견수 방면 1루타,1사  3:6,1사 1루 3:6,0.59,0.297,0.259,89.3%,0.027
04-30,두산,3회초,곽빈,8 이병헌,2 (0-1),좌익수 방면 1루타,1사  0:2,1사 1루 0:2,0.67,0.304,0.262,71.2%,0.028
05-16,SSG,3회초,김광현,9 이병헌,4 (2-1),우익수 방면 1루타,1사  0:0,1사 1루 0:0,0.72,0.302,0.260,49.7%,0.028
04-21,한화,3회초,산체스,9 이병헌,2 (1-0),중견수 방면 1루타,1사  0:1,1사 1루 0:1,0.73,0.295,0.257,61.1%,0.029
06-18,SSG,7회말,조병현,9 이병헌,2 (0-1),우익수 방면 1루타,무사  6:2,무사 1루 6:2,0.69,0.570,0.411,10.0%,0.032
06-23,두산,4회말,정철원,8 이병헌,6 (3-2),4구,무사  3:4,무사 1루 3:4,0.83,0.575,0.416,72.0%,0.033
04-13,NC,4회말,하트,8 이병헌,4 (3-0),4구,"2사 1,2루 1:1",2사 만루 1:1,2.02,0.506,0.432,58.6%,0.034
