Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
06-21,두산,8회말,김명신,8 김헌곤,8 (3-2),우익수 파울플라이 아웃,"무사 1,2루 4:7","1사 2,3루 4:7",0.18,1.662,-0.109,98.4%,0.001
07-10,NC,6회말,최성영,1 김헌곤,6 (3-2),4구,1사  3:9,1사 1루 3:9,0.04,0.302,0.260,98.7%,0.001
05-19,한화,4회말,류현진,2 김헌곤,10 (3-2),4구,무사  12:0,무사 1루 12:0,0.04,0.564,0.422,0.6%,0.002
05-16,SSG,9회초,박민호,8 김헌곤,3 (1-1),중견수 방면 1루타,"2사 1,2루 9:3",2사 3루 11:3,0.03,0.498,1.917,0.1%,0.002
04-09,롯데,9회초,한현희,2 김헌곤,7 (3-2),4구,무사  5:1,무사 1루 5:1,0.06,0.531,0.415,1.2%,0.002
04-14,NC,8회말,송명기,1 김헌곤,6 (2-2),중견수 방면 2루타,1사 2루 5:10,1사 2루 5:11,0.03,0.789,1.000,99.8%,0.003
04-23,LG,6회말,이우찬,9 김헌곤,1 (0-0),우익수 방면 1루타,1사  3:7,1사 1루 3:7,0.13,0.275,0.265,95.3%,0.005
06-20,SSG,8회말,문승원,9 김헌곤,3 (1-1),좌익수 방면 1루타,"무사 1,3루 0:3","무사 1,2루 0:4",0.13,1.951,0.709,99.3%,0.005
07-18,KIA,7회초,김승현,1 김헌곤,5 (1-2),우익수 방면 1루타,1사  3:9,1사 1루 3:9,0.12,0.301,0.268,98.4%,0.006
05-23,KT,8회말,김민,6 김헌곤,3 (1-1),유격수 포구실책 출루,2사  6:2,2사 1루 6:2,0.15,0.116,0.122,2.5%,0.007
05-03,롯데,3회말,나균안,8 김헌곤,5 (2-2),좌익수 방면 1루타,1사 1루 0:5,"1사 1,2루 0:5",0.26,0.569,0.528,94.3%,0.007
04-12,NC,8회말,송명기,2 김헌곤,5 (2-2),우익수 방면 1루타,무사  8:2,무사 1루 8:2,0.16,0.562,0.422,1.7%,0.008
07-10,NC,2회말,카스타노,1 김헌곤,2 (1-0),좌익수 방면 1루타,무사  1:6,무사 1루 1:6,0.22,0.579,0.423,93.1%,0.009
08-01,LG,8회초,김영준,6 김헌곤,2 (0-1),1루수 포구실책 출루,"1사 1,3루 4:0","1사 1,2루 5:0",0.28,1.326,0.799,1.4%,0.010
04-27,키움,8회초,전준표,8 김헌곤,1 (0-0),사구,"1사 1,3루 2:0",1사 만루 2:0,1.06,1.263,0.577,8.6%,0.010
06-19,SSG,7회말,서진용,1 김헌곤,4 (3-0),4구,1사  2:4,1사 1루 2:4,0.31,0.302,0.261,89.0%,0.011
07-17,KIA,6회초,이형범,1 김헌곤,4 (3-0),4구,2사 3루 5:9,"2사 1,3루 5:9",0.69,0.420,0.098,92.2%,0.012
07-27,KT,5회말,벤자민,2 김헌곤,6 (1-2),사구,"1사 2,3루 1:0",1사 만루 1:0,2.30,1.594,0.347,55.9%,0.014
04-09,롯데,3회초,나균안,2 김헌곤,6 (3-2),우익수 방면 1루타,2사  0:1,2사 1루 0:1,0.46,0.105,0.119,64.4%,0.015
07-12,두산,6회초,이영하,9 김헌곤,7 (3-2),4구,2사 1루 6:4,"2사 1,2루 6:4",0.64,0.228,0.246,22.2%,0.015
05-17,한화,7회말,한승혁,2 김헌곤,5 (2-2),좌익수 방면 1루타,1사 3루 2:5,1사 1루 2:6,0.38,1.018,0.532,97.2%,0.015
07-11,NC,4회말,이준호,1 김헌곤,3 (2-0),좌익수 방면 1루타,무사 1루 2:6,"무사 1,2루 2:6",0.41,1.007,0.630,94.0%,0.015
08-04,SSG,5회말,장지훈,2 김헌곤,5 (3-1),4구,1사  3:5,1사 1루 3:5,0.42,0.305,0.279,81.6%,0.016
08-01,LG,7회초,백승현,6 김헌곤,6 (3-2),4구,1사  2:0,1사 1루 2:0,0.45,0.305,0.276,18.0%,0.016
05-09,KIA,4회말,네일,7 김헌곤,4 (2-1),2루수 방면 내야 안타,2사  2:1,2사 1루 2:1,0.55,0.114,0.114,39.0%,0.017
05-26,롯데,6회초,김상수,9 김헌곤,5 (2-2),중견수 방면 1루타,2사  1:3,2사 1루 1:3,0.49,0.118,0.124,81.8%,0.017
04-05,KIA,7회초,곽도규,1 김헌곤,4 (3-0),4구,"2사 2,3루 1:5",2사 만루 1:5,1.16,0.618,0.324,91.7%,0.019
08-04,SSG,2회말,김광현,2 김헌곤,10 (3-2),4구,1사 2루 2:2,"1사 1,2루 2:2",1.28,0.801,0.321,59.0%,0.020
06-26,LG,4회초,엔스,1 김헌곤,10 (1-2),1루주자 김헌곤 : 2루 도루,무사 1루 0:0,1사 2루 0:0,1.44,0.561,0.233,47.7%,0.020
08-07,한화,1회말,류현진,2 김헌곤,3 (1-1),우익수 방면 1루타,1사  4:0,1사 1루 4:0,0.48,0.307,0.276,19.4%,0.020
05-11,NC,2회초,김시훈,7 김헌곤,7 (3-2),4구,1사 2루 0:0,"1사 1,2루 0:0",1.29,0.788,0.208,46.0%,0.021
05-23,KT,2회말,원상현,6 김헌곤,5 (2-2),좌익수 방면 1루타,1사  4:0,1사 1루 4:0,0.50,0.292,0.257,17.8%,0.021
04-12,NC,1회말,카스타노,2 김헌곤,4 (1-2),우익수 방면 1루타,1사  3:0,1사 1루 3:0,0.58,0.293,0.259,26.5%,0.024
04-17,두산,2회말,김호준,7 김헌곤,6 (3-2),중견수 방면 1루타,무사  0:2,무사 1루 0:2,0.62,0.536,0.417,77.4%,0.024
