Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
06-23,두산,5회말,홍건희,3 구자욱,6 (3-2),우중간 홈런,1사  1:3,1사  1:4,0.42,0.302,1.000,87.8%,0.077
08-06,한화,1회말,바리아,3 구자욱,1 (0-0),우익수 방면 1루타,"무사 1,2루 1:0",무사 만루 1:0,2.02,1.679,0.968,62.0%,0.078
05-02,두산,5회초,최원준,3 구자욱,6 (3-2),좌익수 방면 1루타,"1사 1,2루 1:1",2사 3루 2:1,2.58,1.095,0.327,37.1%,0.080
06-19,SSG,7회말,최민준,3 구자욱,1 (0-0),우익수 뒤 홈런,"1사 1,2루 2:4",1사  2:7,0.83,1.048,2.255,98.5%,0.080
06-21,두산,5회말,이영하,3 구자욱,3 (1-1),우중간 홈런,2사 1루 2:5,2사  2:7,0.35,0.237,1.883,95.6%,0.080
08-08,한화,1회말,문동주,3 구자욱,5 (3-1),4구,"무사 1,2루 2:0",무사 만루 2:0,2.08,1.679,0.969,52.7%,0.081
04-13,NC,4회말,하트,3 구자욱,1 (0-0),중견수 방면 2루타,무사  1:0,무사 2루 1:0,1.19,0.560,0.708,50.6%,0.081
06-09,키움,1회초,헤이수스,3 구자욱,1 (0-0),중견수 방면 1루타,1사 2루 0:0,1사 1루 1:0,1.21,0.783,0.768,40.0%,0.082
04-18,두산,1회말,곽빈,3 구자욱,1 (0-0),우익수 방면 1루타,1사 2루 0:0,1사 1루 0:1,1.21,0.765,0.773,64.9%,0.083
06-30,KT,1회초,조이현,3 구자욱,2 (1-0),좌익수 방면 2루타,1사 1루 0:0,"1사 2,3루 0:0",1.15,0.566,0.996,41.5%,0.083
05-22,KT,1회말,쿠에바스,1 구자욱,2 (1-0),중견수 방면 3루타,무사  0:0,무사 3루 0:0,0.87,0.560,0.969,63.8%,0.090
04-06,KIA,3회초,윤영철,3 구자욱,2 (0-1),방면 1루타,1사 2루 0:0,1사 1루 1:0,1.39,0.784,0.765,38.4%,0.095
05-22,KT,3회말,쿠에바스,1 구자욱,1 (0-0),좌익수 뒤 홈런,무사  1:2,무사  1:3,0.80,0.560,1.000,76.8%,0.097
05-12,NC,1회초,이재학,2 구자욱,4 (1-2),우중간 홈런,1사  0:0,1사  1:0,0.62,0.305,1.000,42.2%,0.100
07-04,KIA,3회말,양현종,3 구자욱,3 (1-1),우익수 뒤 홈런,1사  1:2,1사  1:3,0.59,0.302,1.000,75.2%,0.102
06-18,SSG,1회말,앤더슨,4 구자욱,5 (2-2),우익수 뒤 홈런,2사  1:1,2사  1:2,0.40,0.118,1.000,61.4%,0.104
05-04,롯데,1회말,윌커슨,3 구자욱,6 (2-2),좌익수 뒤 홈런,2사  1:0,2사  1:1,0.42,0.115,1.000,51.0%,0.105
07-03,KIA,5회말,장현식,3 구자욱,4 (1-2),우익수 방면 1루타,"2사 1,2루 3:3",이닝종료 3:4,2.23,0.491,-0.491,66.3%,0.105
04-16,두산,3회말,박소준,3 구자욱,4 (2-1),우익수 뒤 홈런,"무사 1,2루 0:2",무사  0:5,1.18,1.678,1.888,93.5%,0.108
06-14,NC,9회초,송명기,3 구자욱,1 (0-0),우익수 방면 2루타,"1사 1,2루 5:4",1사 2루 7:4,1.33,1.044,1.752,3.0%,0.108
05-25,롯데,5회초,김진욱,1 구자욱,3 (1-1),우익수 방면 1루타,1사 만루 0:4,"1사 1,2루 2:4",2.55,1.772,1.214,70.2%,0.110
