Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
06-16,NC,1회초,김시훈,1 김지찬,1 (0-0),사구,무사  0:0,무사 1루 0:0,0.87,0.569,0.410,46.5%,0.036
06-27,LG,1회초,이상영,1 김지찬,5 (3-1),4구,무사  0:0,무사 1루 0:0,0.87,0.580,0.420,46.5%,0.036
06-30,KT,1회초,조이현,1 김지찬,2 (0-1),우익수 방면 1루타,무사  0:0,무사 1루 0:0,0.87,0.582,0.423,46.5%,0.036
04-30,두산,1회초,곽빈,1 김지찬,4 (3-0),4구,무사  0:0,무사 1루 0:0,0.87,0.582,0.423,46.5%,0.036
05-01,두산,1회초,브랜든,1 김지찬,4 (2-1),좌익수 방면 1루타,무사  0:0,무사 1루 0:0,0.87,0.579,0.426,46.5%,0.036
07-12,두산,1회초,곽빈,1 김지찬,7 (3-2),4구,무사  0:0,무사 1루 0:0,0.87,0.580,0.427,46.5%,0.036
07-23,한화,1회초,바리아,1 김지찬,2 (0-1),투수 방면 내야 안타,무사  0:0,무사 1루 0:0,0.87,0.589,0.437,46.5%,0.036
07-30,LG,1회초,엔스,1 김지찬,4 (1-2),투수 방면 내야 안타,무사  0:0,무사 1루 0:0,0.87,0.586,0.436,46.5%,0.036
08-01,LG,1회초,임찬규,1 김지찬,3 (1-1),우익수 방면 1루타,무사  0:0,무사 1루 0:0,0.87,0.592,0.444,46.5%,0.036
03-26,LG,6회초,켈리,1 김지찬,4 (1-2),2루수 방면 내야 안타,1사  0:2,1사 1루 0:2,0.85,0.272,0.262,77.8%,0.036
03-23,KT,5회초,쿠에바스,1 김지찬,3 (1-1),1루수 포구실책 출루,1사  1:2,1사 1루 1:2,0.91,0.271,0.260,63.7%,0.036
08-03,SSG,3회말,한두솔,1 김지찬,2 (1-0),중견수 방면 1루타,1사 만루 0:4,"1사 1,2루 0:6",0.80,1.966,1.154,96.5%,0.037
06-15,NC,7회초,한재승,8 김지찬,1 (0-0),좌익수 방면 1루타,무사  3:2,무사 1루 3:2,0.98,0.569,0.413,26.7%,0.037
05-24,롯데,6회초,한현희,2 김지찬,4 (2-1),좌익수 방면 1루타,1사 1루 5:4,"1사 1,2루 5:4",1.28,0.549,0.443,29.8%,0.037
06-27,LG,6회초,이상영,1 김지찬,2 (0-1),1루수 방면 내야 안타,무사  1:0,무사 1루 1:0,0.97,0.580,0.420,30.0%,0.038
08-04,SSG,1회말,김광현,1 김지찬,4 (3-0),4구,무사  2:0,무사 1루 2:0,0.91,0.594,0.447,38.6%,0.038
08-08,한화,1회말,문동주,1 김지찬,6 (3-2),4구,무사  2:0,무사 1루 2:0,0.91,0.597,0.449,38.6%,0.038
05-29,키움,1회말,헤이수스,1 김지찬,6 (2-2),2루수 방면 내야 안타,무사  1:0,무사 1루 1:0,0.92,0.564,0.422,48.3%,0.038
08-06,한화,1회말,바리아,1 김지찬,7 (2-2),유격수 송구실책 출루,무사  1:0,무사 1루 1:0,0.92,0.594,0.447,48.3%,0.038
05-28,키움,5회말,후라도,1 김지찬,6 (3-2),4구,1사  2:1,1사 1루 2:1,0.97,0.295,0.256,41.6%,0.038
04-06,KIA,3회초,윤영철,1 김지찬,4 (3-0),4구,무사  0:0,무사 1루 0:0,0.99,0.552,0.423,46.0%,0.040
07-18,KIA,3회초,알드레드,9 김지찬,6 (3-2),4구,무사  0:2,무사 1루 0:2,0.97,0.584,0.438,67.4%,0.041
04-07,KIA,7회초,최지민,1 김지찬,5 (2-2),좌익수 방면 1루타,1사  3:3,1사 1루 3:3,1.15,0.282,0.264,49.7%,0.042
07-30,LG,7회초,임준형,1 김지찬,1 (0-0),우익수 방면 2루타,1사 2루 4:1,1사 2루 5:1,0.50,0.807,1.000,5.2%,0.043
06-23,두산,3회말,김동주,1 김지찬,3 (1-1),우익수 방면 1루타,무사  3:1,무사 1루 3:1,1.05,0.575,0.416,36.7%,0.044
