Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
07-26,KT,2회말,엄상백,4 강민호,5 (2-2),중견수 플라이 아웃,무사  0:0,1사  0:0,0.92,0.588,-0.288,52.8%,-0.023
05-02,두산,4회초,최원준,6 강민호,4 (2-1),좌익수 플라이 아웃,무사  1:0,1사  1:0,0.90,0.584,-0.283,39.8%,-0.023
06-01,한화,5회말,김규연,6 강민호,2 (1-0),2루수 플라이 아웃,2사 1루 4:5,이닝종료 4:5,0.80,0.243,-0.243,66.3%,-0.023
08-03,SSG,2회말,송영진,4 강민호,8 (3-2),루킹 삼진,"2사 1,2루 0:3",이닝종료 0:3,0.88,0.500,-0.500,79.9%,-0.023
06-19,SSG,1회말,오원석,4 강민호,5 (2-2),낫아웃 삼진,2사 1루 0:0,이닝종료 0:0,0.79,0.239,-0.239,50.0%,-0.022
07-11,NC,1회말,신민혁,4 강민호,5 (1-2),중견수 방면 1루타,2사 1루 0:0,이닝종료 0:0,0.79,0.230,-0.230,50.0%,-0.022
07-27,KT,1회말,벤자민,4 강민호,5 (1-2),유격수 플라이 아웃,2사 1루 0:0,이닝종료 0:0,0.79,0.231,-0.231,50.0%,-0.022
07-28,KT,1회말,조이현,4 강민호,2 (0-1),좌익수 플라이 아웃,2사 1루 0:0,이닝종료 0:0,0.79,0.234,-0.234,50.0%,-0.022
07-24,한화,1회초,류현진,4 강민호,2 (0-1),3루수 파울플라이 아웃,2사 1루 0:0,이닝종료 0:0,0.79,0.227,-0.227,54.8%,-0.022
05-08,KIA,5회말,양현종,6 강민호,3 (1-1),좌익수 플라이 아웃,1사  0:0,2사  0:0,0.87,0.301,-0.185,51.5%,-0.022
05-18,한화,4회말,장시환,7 강민호,6 (2-2),좌익수 플라이 아웃,무사  3:4,1사  3:4,0.83,0.560,-0.268,66.6%,-0.021
07-03,KIA,6회말,장현식,4 강민호,4 (2-1),2루수 땅볼 아웃,무사  3:4,1사  3:4,0.83,0.580,-0.278,72.2%,-0.021
08-06,한화,3회말,바리아,4 강민호,2 (0-1),중견수 플라이 아웃,무사  1:2,1사  1:2,0.80,0.594,-0.289,65.0%,-0.021
07-31,LG,2회초,손주영,4 강민호,1 (0-0),유격수 땅볼 아웃,무사  0:3,1사  0:3,0.81,0.592,-0.287,80.2%,-0.020
07-14,두산,4회초,발라조빅,4 강민호,4 (0-2),루킹 삼진,1사  0:1,2사  0:1,0.81,0.301,-0.185,67.4%,-0.020
05-04,롯데,1회말,윌커슨,6 강민호,6 (1-2),헛스윙 삼진,2사 1루 1:2,이닝종료 1:2,0.70,0.226,-0.226,60.5%,-0.020
04-20,한화,2회초,황준서,6 강민호,6 (3-2),투수 땅볼 아웃,1사 1루 0:0,2사 2루 0:0,1.23,0.552,-0.156,51.7%,-0.019
06-30,KT,4회초,고영표,4 강민호,5 (1-2),낫아웃 삼진,1사  0:0,2사  0:0,0.78,0.304,-0.186,54.7%,-0.019
04-30,두산,5회초,곽빈,6 강민호,2 (0-1),중견수 플라이 아웃,1사  0:2,2사  0:2,0.79,0.304,-0.186,80.3%,-0.019
03-29,SSG,2회말,김광현,4 강민호,1 (0-0),3루수 땅볼 아웃,무사  4:0,1사  4:0,0.74,0.536,-0.262,15.7%,-0.019
06-01,한화,1회말,조동욱,6 강민호,6 (3-2),유격수 땅볼 아웃,1사 2루 0:3,2사 2루 0:3,0.66,0.792,-0.396,80.0%,-0.019
06-04,SSG,3회초,송영진,8 강민호,2 (0-1),좌익수 플라이 아웃,1사  0:1,2사  0:1,0.73,0.297,-0.179,65.9%,-0.018
04-27,키움,6회초,후라도,7 강민호,3 (1-1),3루수 땅볼 아웃,1사  1:0,2사  1:0,0.72,0.303,-0.182,38.0%,-0.018
07-24,한화,6회초,류현진,4 강민호,2 (0-1),중견수 플라이 아웃,1사  1:0,2사  1:0,0.72,0.302,-0.187,38.0%,-0.018
04-04,키움,7회말,김재웅,5 강민호,4 (1-2),루킹 삼진,무사  5:1,1사  5:1,0.69,0.549,-0.267,5.1%,-0.018
05-02,두산,9회초,홍건희,6 강민호,2 (0-1),2루수 직선타 아웃,"2사 1,3루 4:2",이닝종료 4:2,0.62,0.517,-0.517,9.1%,-0.017
08-07,한화,1회말,류현진,4 강민호,6 (2-2),선행주자아웃 출루,2사 1루 4:0,이닝종료 4:0,0.60,0.240,-0.240,15.4%,-0.017
04-09,롯데,2회초,나균안,7 강민호,6 (3-2),헛스윙 삼진,1사  0:1,2사  0:1,0.68,0.273,-0.168,64.7%,-0.017
05-14,SSG,3회초,오원석,8 강민호,3 (0-2),헛스윙 삼진,1사  0:2,2사  0:2,0.67,0.288,-0.173,75.7%,-0.017
07-24,한화,8회초,김서현,4 강민호,8 (3-2),헛스윙 삼진,1사  2:1,2사  2:1,0.68,0.302,-0.187,29.2%,-0.017
