Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
06-15,NC,3회초,하트,9 안주형,3 (0-2),루킹 삼진,1사  0:1,2사  0:1,0.73,0.299,-0.181,65.9%,-0.018
07-27,KT,6회말,성재헌,9 안주형,3 (0-2),헛스윙 삼진,1사 1루 1:3,2사 1루 1:3,0.68,0.570,-0.339,83.3%,-0.016
04-02,키움,1회말,김선기,2 안주형,4 (1-2),3루수 파울플라이 아웃,1사  0:0,2사  0:0,0.62,0.275,-0.168,51.0%,-0.015
03-30,SSG,9회말,문승원,9 안주형,4 (2-1),좌익수 플라이 아웃,2사 1루 9:6,이닝종료 9:6,0.50,0.225,-0.225,0.0%,-0.015
08-08,한화,5회말,문동주,5 안주형,6 (3-2),헛스윙 삼진,2사  3:3,이닝종료 3:3,0.58,0.120,-0.120,50.0%,-0.015
08-07,한화,5회말,류현진,9 안주형,2 (1-0),유격수 땅볼 아웃,무사  6:1,1사  6:1,0.53,0.597,-0.291,5.8%,-0.014
06-08,키움,6회초,후라도,9 안주형,5 (2-2),유격수 병살타 아웃,무사 1루 2:9,2사  2:9,0.30,0.973,-0.854,99.2%,-0.013
07-26,KT,3회말,엄상백,9 안주형,3 (0-2),루킹 삼진,2사  1:0,이닝종료 1:0,0.49,0.114,-0.114,37.5%,-0.013
06-04,SSG,3회초,송영진,9 안주형,3 (1-1),3루수 땅볼 아웃,2사  0:1,이닝종료 0:1,0.46,0.118,-0.118,67.1%,-0.012
03-29,SSG,7회말,노경은,7 안주형,8 (3-2),루킹 삼진,무사  6:1,1사  6:1,0.41,0.536,-0.262,2.6%,-0.011
05-29,키움,3회말,헤이수스,9 안주형,3 (0-2),헛스윙 삼진,무사  7:1,1사  7:1,0.42,0.564,-0.269,5.8%,-0.011
06-09,키움,3회초,헤이수스,1 안주형,7 (2-2),루킹 삼진,2사  1:0,이닝종료 1:0,0.41,0.119,-0.119,43.4%,-0.011
07-20,롯데,5회말,박진,9 안주형,4 (0-2),3루수 인필드플라이 아웃,1사 만루 4:9,2사 만루 4:9,0.34,1.936,-1.126,96.5%,-0.010
07-04,KIA,7회말,황동하,8 안주형,6 (3-2),1루수 땅볼 아웃,2사  2:3,이닝종료 2:3,0.39,0.118,-0.118,74.8%,-0.010
05-29,키움,5회말,헤이수스,9 안주형,5 (2-2),투수 땅볼 아웃,무사  8:2,1사  8:2,0.36,0.564,-0.269,3.4%,-0.009
03-29,SSG,4회말,김광현,7 안주형,4 (2-1),좌익수 플라이 아웃,2사  5:1,이닝종료 5:1,0.28,0.107,-0.107,10.0%,-0.007
04-02,키움,8회말,김윤하,2 안주형,4 (1-2),유격수 플라이 아웃,"1사 2,3루 8:1","2사 2,3루 8:1",0.21,1.603,-0.979,0.4%,-0.007
06-25,LG,3회초,켈리,9 안주형,4 (1-2),1루수 땅볼 아웃,2사  0:4,이닝종료 0:4,0.26,0.119,-0.119,89.7%,-0.007
08-07,한화,7회말,이상규,9 안주형,1 (0-0),3루수 파울플라이 아웃,2사 1루 6:9,이닝종료 6:9,0.21,0.240,-0.240,93.1%,-0.006
06-25,LG,6회초,켈리,9 안주형,1 (0-0),1루수 직선타 아웃,2사  0:4,이닝종료 0:4,0.21,0.119,-0.119,95.3%,-0.006
04-04,키움,7회말,김재웅,7 안주형,4 (1-2),루킹 삼진,2사  5:1,이닝종료 5:1,0.22,0.111,-0.111,3.5%,-0.006
06-07,키움,5회초,조영건,8 안주형,6 (3-2),우익수 플라이 아웃,2사  5:1,이닝종료 5:1,0.16,0.118,-0.118,11.8%,-0.004
07-20,롯데,4회말,박진,9 안주형,1 (0-0),포수 희생번트 아웃,무사 2루 4:7,1사 3루 4:7,0.53,1.276,-0.225,88.8%,-0.004
04-05,KIA,9회초,정해영,9 안주형,4 (1-2),헛스윙 삼진,2사  2:5,이닝종료 2:5,0.14,0.111,-0.111,100.0%,-0.004
07-12,두산,4회초,곽빈,9 안주형,2 (0-1),3루수 희생번트 아웃,"무사 1,2루 4:4","1사 2,3루 4:4",2.23,1.642,-0.095,39.4%,-0.004
07-14,두산,9회초,박정수,9 안주형,4 (1-2),루킹 삼진,무사  5:2,1사  5:2,0.13,0.581,-0.280,3.6%,-0.003
04-02,키움,6회말,김윤하,2 안주형,4 (1-2),2루수 땅볼 아웃,1사  8:1,2사  8:1,0.10,0.275,-0.168,0.9%,-0.003
07-18,KIA,8회초,김사윤,6 안주형,6 (3-2),헛스윙 삼진,1사  4:10,2사  4:10,0.06,0.301,-0.184,99.7%,-0.002
08-03,SSG,5회말,김택형,8 안주형,5 (2-2),낫아웃 삼진,무사  1:8,1사  1:8,0.04,0.593,-0.289,98.8%,-0.001
06-09,키움,8회초,김연주,1 안주형,3 (1-1),2루수 땅볼 아웃,2사 1루 7:1,이닝종료 7:1,0.03,0.242,-0.242,1.0%,-0.001
04-04,키움,9회말,손현기,7 안주형,4 (2-1),3루수 땅볼 아웃,"2사 1,2루 10:1",이닝종료 10:1,0.00,0.492,-0.492,0.0%,0.000
03-28,LG,9회초,최동환,9 안주형,2 (0-1),1루수 직선타 아웃,무사 만루 0:18,1사 만루 0:18,0.02,2.419,-0.770,100.0%,0.000
07-20,롯데,6회말,진해수,9 안주형,6 (3-2),2루수 병살타 아웃,"무사 1,3루 4:16",2사  4:17,0.00,2.003,-0.888,100.0%,0.000
07-20,롯데,8회말,이민석,9 안주형,3 (1-1),중견수 방면 1루타,1사 1루 4:17,"1사 1,2루 4:17",0.00,0.571,0.535,100.0%,0.000
08-03,SSG,8회말,장지훈,8 안주형,1 (0-0),중견수 방면 1루타,2사  4:12,2사 1루 4:12,0.00,0.117,0.121,100.0%,0.000
06-19,SSG,8회말,박민호,8 안주형,4 (3-0),4구,무사  2:9,무사 1루 2:9,0.00,0.574,0.418,99.9%,0.000
07-31,LG,9회초,최동환,5 안주형,6 (3-2),4구,무사  2:11,무사 1루 2:11,0.00,0.592,0.444,100.0%,0.000
08-03,SSG,7회말,이건욱,8 안주형,8 (3-2),우익수 방면 1루타,무사  2:10,무사 1루 2:10,0.01,0.593,0.446,99.9%,0.000
03-28,LG,7회초,김유영,9 안주형,4 (1-2),1루수 포구실책 출루,1사 1루 0:14,"1사 1,2루 0:14",0.01,0.538,0.428,99.9%,0.000
06-08,키움,8회초,김선기,9 안주형,3 (1-1),중견수 방면 1루타,2사 2루 2:10,2사 1루 3:10,0.01,0.396,0.846,99.8%,0.001
07-10,NC,8회말,전루건,9 안주형,6 (3-2),우익수 방면 1루타,무사  6:10,무사 1루 6:10,0.05,0.579,0.423,99.0%,0.002
06-09,키움,7회초,박윤성,1 안주형,6 (3-2),4구,무사  4:0,무사 1루 4:0,0.21,0.563,0.409,4.9%,0.008
04-06,KIA,5회초,윤영철,7 안주형,4 (3-0),4구,2사 2루 3:3,"2사 1,2루 3:3",1.60,0.393,0.105,50.9%,0.012
08-01,LG,8회초,김영준,8 안주형,6 (3-2),중견수 방면 1루타,"2사 2,3루 5:0",2사 1루 7:0,0.14,0.610,1.627,0.4%,0.012
07-02,KIA,9회말,임기영,8 안주형,2 (0-1),1루수 희생번트 아웃,무사 2루 4:4,1사 3루 4:4,2.58,1.278,-0.225,82.7%,0.017
08-03,SSG,2회말,송영진,8 안주형,4 (3-0),4구,무사  0:2,무사 1루 0:2,0.62,0.593,0.446,77.4%,0.024
06-07,키움,4회초,조영건,8 안주형,4 (1-2),2루수 방면 내야 안타,무사  3:1,무사 1루 3:1,0.69,0.563,0.411,24.0%,0.027
06-08,키움,4회초,후라도,9 안주형,1 (0-0),유격수 방면 내야 안타,2사 1루 2:6,"2사 2,3루 2:6",0.54,0.243,0.363,87.2%,0.028
04-05,KIA,5회초,크로우,9 안주형,5 (3-1),4구,2사 1루 0:1,"2사 1,2루 0:1",1.16,0.230,0.270,64.9%,0.028
06-09,키움,5회초,헤이수스,1 안주형,2 (1-0),사구,"2사 1,2루 1:0",2사 만루 1:0,1.79,0.498,0.355,33.7%,0.030
07-20,롯데,3회말,이인복,9 안주형,9 (3-2),4구,1사  3:1,1사 1루 3:1,0.73,0.302,0.269,32.7%,0.030
06-11,LG,6회말,백승현,2 안주형,7 (2-2),2루수 땅볼 아웃,1사 2루 1:5,2사 3루 1:5,0.42,0.782,0.631,95.1%,0.030
08-03,SSG,3회말,송영진,8 안주형,5 (3-1),4구,무사 만루 0:3,무사 만루 0:4,0.83,2.639,1.000,94.7%,0.031
03-30,SSG,3회말,엘리아스,9 안주형,3 (0-2),좌익수 방면 1루타,무사 1루 6:0,"무사 1,2루 6:0",0.76,0.962,0.673,11.9%,0.032
08-07,한화,3회말,류현진,9 안주형,1 (0-0),중견수 방면 1루타,무사  4:0,무사 1루 4:0,0.75,0.597,0.449,19.1%,0.033
04-04,키움,5회말,후라도,7 안주형,2 (0-1),2루수 포구실책 출루,1사  3:1,1사 1루 3:1,0.87,0.282,0.260,28.8%,0.036
03-31,SSG,3회말,더거,7 안주형,2 (0-1),중견수 방면 1루타,무사  3:0,무사 1루 3:0,0.91,0.540,0.420,27.0%,0.039
03-28,LG,3회초,손주영,9 안주형,5 (1-2),좌익수 방면 1루타,무사  0:0,무사 1루 0:0,0.99,0.536,0.417,46.0%,0.040
06-30,KT,3회초,조이현,9 안주형,1 (0-0),투수 방면 번트 내야 안타,무사  1:1,무사 1루 1:1,0.99,0.582,0.423,46.0%,0.040
08-02,SSG,3회말,엘리아스,9 안주형,2 (0-1),2루수 포구실책 출루,1사  3:0,1사 2루 3:0,0.63,0.305,0.494,24.8%,0.040
04-06,KIA,7회초,장현식,7 안주형,4 (2-1),중견수 방면 2루타,2사  4:4,2사 2루 4:4,0.78,0.113,0.280,52.6%,0.042
06-02,한화,5회말,문동주,8 안주형,7 (2-2),우익수 방면 1루타,무사  0:0,무사 1루 0:0,1.17,0.567,0.418,61.2%,0.046
06-23,두산,8회말,김강률,7 안주형,7 (3-2),4구,1사  4:4,1사 1루 4:4,1.39,0.302,0.262,60.7%,0.047
03-30,SSG,8회말,조병현,9 안주형,9 (3-2),4구,무사  8:5,무사 1루 8:5,1.05,0.540,0.422,13.4%,0.049
03-29,SSG,2회말,김광현,7 안주형,6 (3-2),중견수 방면 1루타,2사 3루 4:0,2사 1루 4:1,0.94,0.423,0.804,22.3%,0.059
03-31,SSG,10회말,이로운,7 안주형,6 (3-2),유격수 방면 1루타,무사  3:3,무사 1루 3:3,2.26,0.540,0.420,71.1%,0.074
04-02,키움,4회말,김선기,2 안주형,5 (3-1),좌익수 방면 2루타,무사  2:0,무사 2루 2:0,1.13,0.540,0.729,38.2%,0.076
04-06,KIA,9회초,전상현,7 안주형,1 (0-0),투수 방면 번트 내야 안타,무사  4:4,무사 1루 4:4,2.32,0.552,0.423,41.8%,0.082
07-27,KT,5회말,벤자민,9 안주형,1 (0-0),투수 희생번트 송구실책 출루,무사 1루 1:0,"무사 1,2루 1:0",2.21,1.022,0.638,54.9%,0.083
07-12,두산,2회초,곽빈,9 안주형,2 (0-1),좌익수 방면 1루타,2사 2루 1:2,2사 1루 2:2,1.21,0.395,0.833,52.7%,0.096
06-08,키움,2회초,후라도,9 안주형,2 (1-0),우익수 방면 1루타,"2사 1,2루 1:3","2사 1,3루 2:3",1.69,0.499,1.043,60.5%,0.102
06-26,LG,8회초,김진성,1 안주형,1 (0-0),투수 땅볼실책 출루,무사 1루 0:1,"무사 1,2루 0:1",3.50,0.994,0.661,53.3%,0.128
06-11,LG,1회말,김유영,2 안주형,3 (2-0),투수 희생번트 송구실책 출루,무사 2루 0:0,무사  0:2,1.20,1.288,1.276,73.5%,0.128
