Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
04-16,두산,2회말,박소준,8 이성규,1 (0-0),중견수 방면 1루타,2사  0:2,2사 1루 0:2,0.30,0.119,0.124,73.2%,0.009
06-28,KT,9회초,김민,8 이성규,1 (0-0),중견수 방면 1루타,2사  4:3,2사 1루 4:3,0.35,0.119,0.117,18.2%,0.009
04-12,NC,9회말,한재승,8 이성규,1 (0-0),좌익수 방면 1루타,무사  8:3,무사 1루 8:3,0.20,0.562,0.422,1.7%,0.009
04-30,두산,9회초,홍건희,9 이성규,6 (3-2),4구,1사  0:4,1사 1루 0:4,0.17,0.304,0.262,98.5%,0.009
06-01,한화,7회말,이민우,3 이성규,4 (1-2),중견수 방면 1루타,2사  4:5,2사 1루 4:5,0.39,0.119,0.124,76.9%,0.010
07-30,LG,8회초,김영준,7 이성규,5 (2-2),중견수 뒤 홈런,2사  6:1,2사  7:1,0.03,0.116,1.000,0.9%,0.010
04-17,두산,3회말,최준호,8 이성규,3 (1-1),좌익수 뒤 홈런,1사  0:7,1사  0:8,0.06,0.276,1.000,98.5%,0.011
05-16,SSG,9회초,박민호,7 이성규,2 (1-0),3루수 포구실책 출루,2사 만루 7:3,"2사 1,2루 9:3",0.18,0.856,1.642,0.3%,0.011
03-29,SSG,7회말,노경은,8 이성규,4 (3-0),4구,1사  6:1,1사 1루 6:1,0.24,0.274,0.259,3.8%,0.012
03-29,SSG,2회말,김광현,8 이성규,7 (3-2),4구,2사 2루 4:1,"2사 1,2루 4:1",1.03,0.386,0.098,24.3%,0.012
07-18,KIA,3회초,알드레드,5 이성규,4 (3-0),4구,2사  3:2,2사 1루 3:2,0.41,0.117,0.110,41.1%,0.012
05-02,두산,3회초,최원준,2 이성규,6 (3-2),4구,2사  1:0,2사 1루 1:0,0.41,0.117,0.110,41.1%,0.012
06-05,SSG,4회초,앤더슨,7 이성규,2 (1-0),사구,2사  2:1,2사 1루 2:1,0.43,0.118,0.124,40.1%,0.013
04-06,KIA,9회초,윤중현,4 이성규,2 (1-0),우익수 희생플라이 아웃,1사 만루 6:4,"2사 2,3루 7:4",0.78,1.796,-0.176,3.2%,0.013
05-28,키움,2회말,후라도,7 이성규,2 (0-1),중견수 방면 1루타,2사  0:0,2사 1루 0:0,0.43,0.117,0.125,52.4%,0.013
