Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
07-28,KT,5회말,조이현,2 김현준,4 (2-1),포수 파울플라이 아웃,1사 3루 0:3,2사 3루 0:3,0.62,1.048,-0.619,88.3%,-0.026
03-31,SSG,8회말,한두솔,1 김현준,7 (3-2),좌익수 플라이 아웃,2사  3:3,이닝종료 3:3,1.03,0.107,-0.107,50.0%,-0.026
04-04,키움,3회말,후라도,1 김현준,5 (2-2),좌익수 플라이 아웃,2사 1루 2:0,이닝종료 2:0,0.92,0.226,-0.226,26.7%,-0.026
04-21,한화,6회초,한승혁,7 김현준,4 (2-1),1루수 땅볼 아웃,1사  2:3,2사  2:3,1.04,0.295,-0.176,72.5%,-0.026
07-28,KT,3회말,조이현,2 김현준,1 (0-0),1루수 땅볼 아웃,2사 1루 0:0,이닝종료 0:0,0.92,0.234,-0.234,50.0%,-0.026
08-02,SSG,5회말,엘리아스,6 김현준,1 (0-0),투수 땅볼 아웃,무사  3:0,1사  3:0,1.02,0.592,-0.287,16.1%,-0.026
03-27,LG,8회초,김진성,8 김현준,5 (1-2),루킹 삼진,2사  2:2,이닝종료 2:2,0.98,0.107,-0.107,60.7%,-0.025
04-06,KIA,6회초,곽도규,2 김현준,3 (0-2),루킹 삼진,무사  4:3,1사  4:3,0.97,0.552,-0.269,36.2%,-0.025
05-24,롯데,6회초,한현희,9 김현준,3 (2-0),중견수 플라이 아웃,무사  5:4,1사  5:4,0.97,0.562,-0.268,36.2%,-0.025
05-25,롯데,8회초,구승민,9 김현준,3 (0-2),선행주자아웃 출루,2사 1루 6:5,이닝종료 6:5,0.88,0.241,-0.241,30.4%,-0.025
07-23,한화,8회초,한승혁,8 김현준,2 (0-1),좌익수 플라이 아웃,2사 1루 5:4,이닝종료 5:4,0.88,0.227,-0.227,30.4%,-0.025
04-21,한화,2회초,산체스,7 김현준,3 (1-1),2루수 땅볼 아웃,2사 1루 0:0,이닝종료 0:0,0.84,0.242,-0.242,55.1%,-0.024
07-24,한화,5회초,류현진,9 김현준,3 (0-2),루킹 삼진,무사  1:0,1사  1:0,0.94,0.589,-0.287,38.3%,-0.024
04-05,KIA,6회초,이준영,2 김현준,3 (1-1),유격수 땅볼 아웃,무사  0:3,1사  0:3,0.92,0.550,-0.267,89.0%,-0.024
03-26,LG,5회초,켈리,7 김현준,4 (1-2),헛스윙 삼진,1사  0:1,2사  0:1,0.91,0.272,-0.168,69.6%,-0.023
04-09,롯데,1회초,나균안,1 김현준,6 (2-2),루킹 삼진,무사  0:0,1사  0:0,0.87,0.531,-0.258,52.2%,-0.022
03-31,SSG,1회말,더거,1 김현준,5 (2-2),헛스윙 삼진,무사  0:0,1사  0:0,0.87,0.540,-0.265,52.6%,-0.022
04-02,키움,1회말,김선기,1 김현준,3 (1-1),2루수 땅볼 아웃,무사  0:0,1사  0:0,0.87,0.540,-0.265,52.6%,-0.022
04-04,키움,1회말,후라도,1 김현준,4 (1-2),중견수 플라이 아웃,무사  0:0,1사  0:0,0.87,0.549,-0.267,52.6%,-0.022
07-26,KT,4회말,엄상백,2 김현준,6 (0-2),투수 땅볼 아웃,1사  1:0,2사  1:0,0.85,0.301,-0.186,37.3%,-0.021
04-12,NC,1회말,카스타노,1 김현준,4 (1-2),루킹 삼진,무사  3:0,1사  3:0,0.83,0.562,-0.269,24.1%,-0.021
04-09,롯데,6회초,구승민,1 김현준,3 (0-2),루킹 삼진,1사 1루 3:1,2사 2루 3:1,0.87,0.534,-0.310,23.7%,-0.021
08-07,한화,6회말,박상원,1 김현준,6 (2-2),2루수 땅볼 아웃,무사  6:7,1사  6:7,0.83,0.597,-0.291,72.2%,-0.021
04-06,KIA,3회초,윤영철,2 김현준,1 (0-0),투수 희생번트 아웃,무사 1루 0:0,1사 2루 0:0,1.63,0.975,-0.191,47.9%,-0.019
07-18,KIA,4회초,이준영,8 김현준,6 (1-2),헛스윙 삼진,1사  3:3,2사  3:3,0.78,0.301,-0.184,54.7%,-0.019
08-03,SSG,3회말,한두솔,9 김현준,3 (1-1),1루수 직선타 아웃,무사 만루 0:4,1사 만루 0:4,0.56,2.639,-0.673,92.8%,-0.019
04-04,키움,6회말,후라도,1 김현준,1 (0-0),2루수 땅볼 아웃,무사  5:1,1사  5:1,0.74,0.549,-0.267,7.5%,-0.019
04-06,KIA,4회초,윤영철,2 김현준,1 (0-0),중견수 플라이 아웃,2사 1루 2:0,이닝종료 2:0,0.66,0.230,-0.230,30.6%,-0.019
