Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
05-19,한화,2회말,류현진,5 류지혁,8 (3-2),유격수 땅볼 아웃,1사  6:0,2사  6:0,0.29,0.295,-0.178,6.3%,-0.007
05-25,롯데,4회초,김진욱,5 류지혁,1 (0-0),2루수 플라이 아웃,2사  0:4,이닝종료 0:4,0.25,0.118,-0.118,91.5%,-0.007
07-18,KIA,6회초,임기영,6 류지혁,4 (1-2),2루수 직선타 아웃,무사  3:9,1사  3:9,0.26,0.584,-0.283,98.1%,-0.007
05-29,키움,4회말,헤이수스,7 류지혁,1 (0-0),중견수 플라이 아웃,1사  8:2,2사  8:2,0.25,0.295,-0.178,3.9%,-0.006
06-01,한화,8회말,김범수,7 류지혁,1 (0-0),2루수 땅볼 아웃,무사  4:6,1사  4:6,0.23,0.567,-0.270,93.4%,-0.006
06-04,SSG,9회초,고효준,7 류지혁,1 (0-0),유격수 땅볼 아웃,1사  3:1,2사  3:1,0.23,0.297,-0.179,8.7%,-0.006
07-27,KT,8회말,주권,7 류지혁,1 (0-0),좌익수 플라이 아웃,1사  1:3,2사  1:3,0.18,0.301,-0.186,93.0%,-0.005
07-17,KIA,8회초,곽도규,9 류지혁,6 (3-2),헛스윙 삼진,2사 1루 5:10,이닝종료 5:10,0.14,0.229,-0.229,99.5%,-0.004
04-25,LG,9회말,김유영,5 류지혁,3 (1-1),선행주자아웃 출루,무사 1루 8:2,1사 1루 8:2,0.19,0.977,-0.417,0.3%,-0.004
07-28,KT,7회말,주권,9 류지혁,7 (2-2),1루수 땅볼 아웃,1사  0:3,2사  0:3,0.16,0.302,-0.187,93.4%,-0.004
03-24,KT,6회초,성재헌,7 류지혁,3 (0-2),유격수 땅볼 아웃,2사 2루 7:1,이닝종료 7:1,0.12,0.380,-0.380,3.0%,-0.004
07-14,두산,8회초,김유성,8 류지혁,4 (0-2),헛스윙 삼진,2사  5:2,이닝종료 5:2,0.14,0.117,-0.117,8.4%,-0.004
07-10,NC,1회말,카스타노,9 류지혁,6 (2-2),헛스윙 삼진,2사  1:6,이닝종료 1:6,0.12,0.118,-0.118,89.5%,-0.003
04-23,LG,7회말,우강훈,7 류지혁,2 (0-1),중견수 플라이 아웃,2사 1루 3:7,이닝종료 3:7,0.11,0.225,-0.225,96.5%,-0.003
04-28,키움,5회초,김성민,5 류지혁,2 (0-1),선행주자아웃 출루,2사 만루 10:2,이닝종료 10:2,0.11,0.863,-0.863,1.4%,-0.003
07-31,LG,7회초,이지강,7 류지혁,6 (3-2),루킹 삼진,1사  1:7,2사  1:7,0.12,0.305,-0.189,99.2%,-0.003
07-02,KIA,10회말,전상현,6 류지혁,5 (2-2),1루수 땅볼 아웃,2사  9:5,이닝종료 9:5,0.06,0.118,-0.118,0.0%,-0.002
07-10,NC,6회말,최성영,9 류지혁,3 (0-2),루킹 삼진,무사  3:9,1사  3:9,0.05,0.579,-0.276,98.6%,-0.001
05-30,키움,8회말,박승주,7 류지혁,4 (1-2),헛스윙 삼진,1사  0:4,2사  0:4,0.04,0.298,-0.179,98.6%,-0.001
08-03,SSG,4회말,한두솔,7 류지혁,2 (0-1),중견수 플라이 아웃,2사  1:8,이닝종료 1:8,0.03,0.117,-0.117,97.9%,-0.001
05-01,두산,7회초,김명신,8 류지혁,3 (0-2),헛스윙 삼진,2사  9:2,이닝종료 9:2,0.01,0.116,-0.116,1.0%,0.000
07-30,LG,8회초,김영준,8 류지혁,6 (3-2),루킹 삼진,2사  7:1,이닝종료 7:1,0.01,0.116,-0.116,1.0%,0.000
05-10,NC,9회초,한재승,7 류지혁,5 (1-2),유격수 땅볼 아웃,1사  3:10,2사  3:10,0.01,0.282,-0.170,100.0%,0.000
05-24,롯데,9회초,정우준,5 류지혁,1 (0-0),1루수 땅볼 아웃,"2사 2,3루 11:4",이닝종료 11:4,0.01,0.616,-0.616,0.1%,0.000
08-03,SSG,6회말,이건욱,7 류지혁,4 (2-1),우익수 플라이 아웃,2사 1루 2:10,이닝종료 2:10,0.01,0.238,-0.238,99.6%,0.000
03-24,KT,8회초,김영현,7 류지혁,4 (0-2),1루수 땅볼 아웃,무사 2루 10:1,1사 3루 10:1,0.00,1.254,-0.271,0.1%,0.000
04-27,키움,9회초,이명종,5 류지혁,1 (0-0),우익수 플라이 아웃,"2사 1,2루 11:0",이닝종료 11:0,0.00,0.504,-0.504,0.0%,0.000
07-20,롯데,6회말,진해수,2 류지혁,3 (0-2),우익수 방면 1루타,2사 1루 4:17,"2사 1,2루 4:17",0.00,0.227,0.255,100.0%,0.000
07-20,롯데,8회말,이민석,2 류지혁,1 (0-0),좌익수 방면 1루타,"2사 1,2루 4:17","2사 1,2루 4:18",0.00,0.481,1.000,100.0%,0.000
